Reference, Value, Footprint, Datasheet, Characteristics, Description, MFN, MFP, Package ID, Source1, Source1Part, Source1Price, Source1Link, Notes, MFS
"C4","470p","Capacitors_THT:C_Rect_L7_W4.5_P5","","63VAC","Metallized Polyester (PET) Capacitors PCM 5 mm","WIMA","FKP2D004701D00JSSD","FKP2","Mouser","505-FKP2470/100/5","0.352€","http://www.mouser.es/ProductDetail/WIMA/FKP2D004701D00JSSD/?qs=sGAEpiMZZMv1cc3ydrPrFwgzP98AO9idfWukD%2fYb8fU%3d","Value",""
"C10","470p","Capacitors_THT:C_Rect_L7_W4.5_P5","","63VAC","Metallized Polyester (PET) Capacitors PCM 5 mm","WIMA","FKP2D004701D00JSSD","FKP2","Mouser","505-FKP2470/100/5","0.352€","http://www.mouser.es/ProductDetail/WIMA/FKP2D004701D00JSSD/?qs=sGAEpiMZZMv1cc3ydrPrFwgzP98AO9idfWukD%2fYb8fU%3d","Value",""
"C16","470p","Capacitors_THT:C_Rect_L10_W2.5_P7.5","","400VAC","Metallized Polypropylene Film Capacitor DC and Pulse Applications","Kemet","R75QD0470DQ30J","R75","Mouser","80-R75QD0470DQ30J","0.811€","http://www.mouser.es/ProductDetail/Kemet/R75QD0470DQ30J/?qs=sGAEpiMZZMv1cc3ydrPrFwtEEAcCyO9Lno4rk%2fffEtI%3d","Value",""
"C6","1n","Capacitors_THT:C_Rect_L7_W4.5_P5","","63VAC","Polypropylene (PP) Capacitors","WIMA","FKS2D011001A00KC00","FKP2","Mouser","505-FKS2D011001A00KC00","0.191€","http://www.mouser.es/ProductDetail/WIMA/FKS2D011001A00KC00/?qs=sGAEpiMZZMv1cc3ydrPrF2CPLAojp4yWK6zCnEZkMTQ%3d","Value",""
"C7","100p","Capacitors_THT:C_Rect_L7_W4.5_P5","","63VAC","Polypropylene (PP) Capacitors","WIMA","FKS2D011001A00KC00","FKP2","Mouser","505-FKP2D001001D00JO00","0.141€","http://www.mouser.es/ProductDetail/WIMA/FKP2D001001D00JO00/?qs=sGAEpiMZZMv1cc3ydrPrF2CPLAojp4yW29gRXGnm4As%3d","Value",""
"C13","22n","Capacitors_THT:C_Rect_L7_W3.5_P5","","400VAC","Double Metallized Polypropylene Film","Kemet","PHE450MK5220JR05","PHE450","Mouser","80-PHE450MK5220JR05","0.67€","http://www.mouser.es/ProductDetail/Kemet/PHE450MK5220JR05/?qs=sGAEpiMZZMv1cc3ydrPrF8YT%2fvJ6Du2Eeo2RW1jWhFw%3d","Value",""
"C15","22n","Capacitors_THT:C_Rect_L7_W3.5_P5","","400VAC","Double Metallized Polypropylene Film","Kemet","PHE450MK5220JR05","PHE450","Mouser","80-PHE450MK5220JR05","0.67€","http://www.mouser.es/ProductDetail/Kemet/PHE450MK5220JR05/?qs=sGAEpiMZZMv1cc3ydrPrF8YT%2fvJ6Du2Eeo2RW1jWhFw%3d","Value",""
"C14","22n","Capacitors_THT:C_Rect_L7_W3.5_P5","","400VAC","Double Metallized Polypropylene Film","Kemet","PHE450MK5220JR05","PHE450","Mouser","80-PHE450MK5220JR05","0.67€","http://www.mouser.es/ProductDetail/Kemet/PHE450MK5220JR05/?qs=sGAEpiMZZMv1cc3ydrPrF8YT%2fvJ6Du2Eeo2RW1jWhFw%3d","Value",""
"C12","47n","Capacitors_THT:C_Rect_L7_W4.5_P5","","400VAC","Metallized Polyester (PET) Capacitors PCM 5 mm","WIMA","MKS4J024702F00KSSD","MKS4","Mouser","505-MKS2B036801C00JA","0.342€","http://www.mouser.es/ProductDetail/WIMA/MKS4J024702F00KSSD/?qs=sGAEpiMZZMv1cc3ydrPrFwgzP98AO9id6x3yOoT7uvw%3d","Value",""
"C18","47u","Capacitors_THT:C_Radial_D14_L31.5_P5","","450VDC","General Purpose Electrolytic Capacitors","Panasonic","EEU-EE2W470S","EE","Mouser","667-EEU-EE2W470S","2.32€","http://www.mouser.es/ProductDetail/Panasonic/EEU-EE2W470S/?qs=sGAEpiMZZMtZ1n0r9vR22dN7zJS18SGVwev2rCc7kfs%3d","Value",""
"RV2","500k","Potentiometers:Potentiometer_WirePads_Small","","60mW","Carbon potentiometer, rotatory, serrated","Alpha (Taiwan)","RV16AF-20-15K-A500K-3LA","Through hole, panel mount","Mouser","313-1530F-500K","1,62 €","http://www.mouser.es/ProductDetail/Alpha-Taiwan/RV16AF-20-15K-A500K-3LA/?qs=sGAEpiMZZMtC25l1F4XBU1WvpdUcjC%2f6UCWaDY0%2fW4Vn8PzRHPejnA%3d%3d","Value",""
"RV4","1MA","Potentiometers:Potentiometer_WirePads_Small","","60mW","Carbon potentiometer, rotatory, serrated","Alpha (Taiwan)","RV16AF-20-15S1-C1M-LA","Through hole, panel mount","Mouser","313-1540F-1M","1,62 €","http://www.mouser.es/ProductDetail/Alpha-Taiwan/RV16AF-20-15S1-C1M-LA/?qs=sGAEpiMZZMtC25l1F4XBU1WvpdUcjC%2f6YGOm4lkxDsINek00kfLfiw%3d%3d","Value",""
"RV5","25kB","Potentiometers:Potentiometer_WirePads_Small","","60mW","Carbon potentiometer, rotatory, round","Alpha (Taiwan)","RV16AF-10-15R1-B25K-LA","Solder lugs, panel mount","Mouser","313-1000F-25K","1,62 €","http://www.mouser.es/ProductDetail/Alpha-Taiwan/RV16AF-10-15R1-B25K-LA/?qs=sGAEpiMZZMtC25l1F4XBU1WvpdUcjC%2f6ddkATNEA0qJLRZVT4p3iIA%3d%3d","Value",""
"RV3","250kB","Potentiometers:Potentiometer_WirePads_Small","","125mW","Carbon potentiometer, rotatory, round","Alpha (Taiwan)","RV16AF-10-15R1-B250K-LA","Solder lugs, panel mount","Mouser","313-1000F-250K","1,62 €","http://www.mouser.es/ProductDetail/Alpha-Taiwan/RV16AF-10-15R1-B250K-LA/?qs=sGAEpiMZZMtC25l1F4XBU1WvpdUcjC%2f6%2fSpnrxfP7V6ygaJ5KCjQJQ%3d%3d","Value",""
"U3","VTG/MDN","Socket_Strips:Socket_Strip_Straight_1x02","","125VAC","Toggle switch, ON-OFF","Mountain Switch","10TC605","Bulk","Mouser","10TC605","2.16 €","http://www.mouser.es/ProductDetail/Mountain-Switch/10TC605/?qs=sGAEpiMZZMvudeGI7i40XOrEA%2fE3pAYM8QXJzdSGoiU%3d","Value",""
"C1","22n","Capacitors_THT:C_Rect_L7_W3.5_P5","","400VAC","Double Metallized Polypropylene Film","Kemet","PHE450MK5220JR05","PHE450","Mouser","80-PHE450MK5220JR05","0.67€","http://www.mouser.es/ProductDetail/Kemet/PHE450MK5220JR05/?qs=sGAEpiMZZMv1cc3ydrPrF8YT%2fvJ6Du2Eeo2RW1jWhFw%3d","Value",""
